elicitationID,MediaID,Classification,Region,sub_region,reef_name,lng,lat,year
1993,4624,Unknown,Australia ,Cairns/Cooktown Management Area,Ribbon Reef 9,145.7099738,-14.96139702,2014
1993,4624,Unknown,Australia ,Cairns/Cooktown Management Area,Ribbon Reef 9,145.7099738,-14.96139702,2014
1993,4624,Unknown,Australia ,Cairns/Cooktown Management Area,Ribbon Reef 9,145.7099738,-14.96139702,2014
1993,4624,Other,Australia ,Cairns/Cooktown Management Area,Ribbon Reef 9,145.7099738,-14.96139702,2014
1993,4624,Other,Australia ,Cairns/Cooktown Management Area,Ribbon Reef 9,145.7099738,-14.96139702,2014
1993,4624,Hard Coral,Australia ,Cairns/Cooktown Management Area,Ribbon Reef 9,145.7099738,-14.96139702,2014
1993,4624,Hard Coral,Australia ,Cairns/Cooktown Management Area,Ribbon Reef 9,145.7099738,-14.96139702,2014
1993,4624,Hard Coral,Australia ,Cairns/Cooktown Management Area,Ribbon Reef 9,145.7099738,-14.96139702,2014
1992,34656,Algae,Australia ,Mackay/Capricorn Management Area,RF Plate Ledge,151.9176802,-23.43509903,2012
1992,34656,Hard Coral,Australia ,Mackay/Capricorn Management Area,RF Plate Ledge,151.9176802,-23.43509903,2012
1992,34656,Hard Coral,Australia ,Mackay/Capricorn Management Area,RF Plate Ledge,151.9176802,-23.43509903,2012
1992,34656,Hard Coral,Australia ,Mackay/Capricorn Management Area,RF Plate Ledge,151.9176802,-23.43509903,2012
1992,34656,Hard Coral,Australia ,Mackay/Capricorn Management Area,RF Plate Ledge,151.9176802,-23.43509903,2012
1992,34656,Hard Coral,Australia ,Mackay/Capricorn Management Area,RF Plate Ledge,151.9176802,-23.43509903,2012
1992,34656,Hard Coral,Australia ,Mackay/Capricorn Management Area,RF Plate Ledge,151.9176802,-23.43509903,2012
1991,45527,Other,Australia ,Mackay/Capricorn Management Area,RF Research Beach,151.9104439,-23.44277283,2014
1991,45527,Other,Australia ,Mackay/Capricorn Management Area,RF Research Beach,151.9104439,-23.44277283,2014
1991,45527,Other,Australia ,Mackay/Capricorn Management Area,RF Research Beach,151.9104439,-23.44277283,2014
